"V1";"V2";"V3";"V4";"V5";"V6";"V7";"Enota";"Kategorija"
"55";"Pomaranca";"35";"86,0";"0,9";"0";"0,0";"5,8";"100g";"sadje"
"65";"Borovnice";"56";"85,0";"0,6";"0,6";"0,0";"14,3";"100g";"sadje"
"75";"Grozdje, belo";"60";"79,0";"0,6";"0";"0,0";"15,3";"100g";"sadje"
"85";"Grozdje, crno";"54";"84,0";"0,5";"0,1";"0,0";"13,5";"100g";"sadje"
"95";"Jagode";"26";"89,0";"0,6";"0";"0,0";"6,2";"100g";"sadje"
"105";"Maline";"25";"83,0";"0,9";"0";"0,0";"5,6";"100g";"sadje"
"115";"Ribez, beli";"26";"83,0";"1,3";"0";"0,0";"5,6";"100g";"sadje"
"125";"Ribez, crni";"28";"77,0";"0,9";"0";"0,0";"6,6";"100g";"sadje"
"135";"Ribez, rdeci";"21";"83,0";"1,1";"0";"0,0";"4,4";"100g";"sadje"
"145";"Robide";"29";"82,0";"1,3";"0";"0,0";"6,4";"100g";"sadje"
"155";"Hru?ka, cela";"29";"60,0";"0,2";"0";"0,0";"7,6";"100g";"sadje"
"165";"Jabolko, celo";"40";"87,0";"0,0";"0";"0,0";"10";"100g";"sadje"
"175";"Breskev";"37";"86,0";"0,6";"0";"0,0";"9,1";"100g";"sadje"
"184";"Marelica";"28";"86,0";"0,6";"0";"0,0";"6,7";"100g";"sadje"
"194";"Nektarina";"50";"80,0";"0,9";"0";"0,0";"12,4";"100g";"sadje"
"204";"Ce?nje";"48";"86,0";"0,8";"0,1";"0,0";"11,7";"100g";"sadje"
"218";"Vi?nje";"41";"84,0";"0,8";"0";"0,0";"10,2";"100g";"sadje"
"223";"Slive";"38";"84,0";"0,6";"0";"0,0";"9,6";"100g";"sadje"
"233";"Ananas";"46";"84,0";"0,5";"0";"0,0";"11,6";"100g";"sadje"
"243";"Avokado";"126";"81,0";"2,0";"10";"0,0";"7";"100g";"sadje"
"253";"Banane";"79";"71,0";"1,1";"0,3";"0,0";"19,2";"100g";"sadje"
"262";"Kivi";"40";"83,0";"1,0";"0";"0,0";"9";"100g";"sadje"
"272";"Dinja";"24";"94,0";"1,0";"0";"0,0";"5,3";"100g";"sadje"
"282";"Fige, sve?e";"41";"85,0";"1,3";"0";"0,0";"9,5";"100g";"sadje"
"292";"Lubenica";"21";"94,0";"0,4";"0";"0,0";"5,3";"100g";"sadje"
"301";"Datelj";"248";"15,0";"2,0";"0";"0,0";"63,9";"100g";"sadje"
